,qa_value,binary_string,a_clima,a_low,a_avg,a_high,water,snow,cloud_shadow,adj_cloud,cloud,cirrus,no_water,no_snow,no_cloud_shadow,no_adj_cloud,no_cloud,no_cirrus
113,113,01110001,False,True,False,False,True,True,False,False,False,True,False,False,True,True,True,False
114,114,01110010,False,True,False,False,True,True,False,False,True,False,False,False,True,True,False,True
115,115,01110011,False,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False
116,116,01110100,False,True,False,False,True,True,False,True,False,False,False,False,True,False,True,True
117,117,01110101,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False
118,118,01110110,False,True,False,False,True,True,False,True,True,False,False,False,True,False,False,True
119,119,01110111,False,True,False,False,True,True,False,True,True,True,False,False,True,False,False,False
120,120,01111000,False,True,False,False,True,True,True,False,False,False,False,False,False,True,True,True
121,121,01111001,False,True,False,False,True,True,True,False,False,True,False,False,False,True,True,False
122,122,01111010,False,True,False,False,True,True,True,False,True,False,False,False,False,True,False,True
123,123,01111011,False,True,False,False,True,True,True,False,True,True,False,False,False,True,False,False
124,124,01111100,False,True,False,False,True,True,True,True,False,False,False,False,False,False,True,True
125,125,01111101,False,True,False,False,True,True,True,True,False,True,False,False,False,False,True,False
126,126,01111110,False,True,False,False,True,True,True,True,True,False,False,False,False,False,False,True
127,127,01111111,False,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False
128,128,10000000,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True
129,129,10000001,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False
130,130,10000010,False,False,True,False,False,False,False,False,True,False,True,True,True,True,False,True
131,131,10000011,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,False
132,132,10000100,False,False,True,False,False,False,False,True,False,False,True,True,True,False,True,True
133,133,10000101,False,False,True,False,False,False,False,True,False,True,True,True,True,False,True,False
134,134,10000110,False,False,True,False,False,False,False,True,True,False,True,True,True,False,False,True
135,135,10000111,False,False,True,False,False,False,False,True,True,True,True,True,True,False,False,False
136,136,10001000,False,False,True,False,False,False,True,False,False,False,True,True,False,True,True,True
137,137,10001001,False,False,True,False,False,False,True,False,False,True,True,True,False,True,True,False
138,138,10001010,False,False,True,False,False,False,True,False,True,False,True,True,False,True,False,True
139,139,10001011,False,False,True,False,False,False,True,False,True,True,True,True,False,True,False,False
140,140,10001100,False,False,True,False,False,False,True,True,False,False,True,True,False,False,True,True
141,141,10001101,False,False,True,False,False,False,True,True,False,True,True,True,False,False,True,False
142,142,10001110,False,False,True,False,False,False,True,True,True,False,True,True,False,False,False,True
143,143,10001111,False,False,True,False,False,False,True,True,True,True,True,True,False,False,False,False
144,144,10010000,False,False,True,False,False,True,False,False,False,False,True,False,True,True,True,True
145,145,10010001,False,False,True,False,False,True,False,False,False,True,True,False,True,True,True,False
146,146,10010010,False,False,True,False,False,True,False,False,True,False,True,False,True,True,False,True
147,147,10010011,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False
