tile,timestep,date,save_path,filename
T15SUS,1,2022-06-20,/data/tiles/HLS.S30.T15SUS.2022171T165901.v2.0/,HLS.S30.T15SUS.2022171T165901.v2.0
T15SUS,2,2022-09-28,/data/tiles/HLS.S30.T15SUS.2022271T170111.v2.0/,HLS.S30.T15SUS.2022271T170111.v2.0
T15SUT,0,2022-03-17,/data/tiles/HLS.S30.T15SUT.2022076T165929.v2.0/,HLS.S30.T15SUT.2022076T165929.v2.0
T15SUT,1,2022-04-26,/data/tiles/HLS.S30.T15SUT.2022116T165839.v2.0/,HLS.S30.T15SUT.2022116T165839.v2.0
T15SUT,2,2022-09-23,/data/tiles/HLS.S30.T15SUT.2022266T170029.v2.0/,HLS.S30.T15SUT.2022266T170029.v2.0
T15SUV,0,2022-04-01,/data/tiles/HLS.S30.T15SUV.2022091T165851.v2.0/,HLS.S30.T15SUV.2022091T165851.v2.0
T15SUV,1,2022-07-05,/data/tiles/HLS.S30.T15SUV.2022186T165849.v2.0/,HLS.S30.T15SUV.2022186T165849.v2.0
T15SUV,2,2022-09-23,/data/tiles/HLS.S30.T15SUV.2022266T170029.v2.0/,HLS.S30.T15SUV.2022266T170029.v2.0
T15SVB,0,2022-05-16,/data/tiles/HLS.S30.T15SVB.2022136T165849.v2.0/,HLS.S30.T15SVB.2022136T165849.v2.0
T15SVB,1,2022-07-05,/data/tiles/HLS.S30.T15SVB.2022186T165849.v2.0/,HLS.S30.T15SVB.2022186T165849.v2.0
T15SVB,2,2022-09-13,/data/tiles/HLS.S30.T15SVB.2022256T165849.v2.0/,HLS.S30.T15SVB.2022256T165849.v2.0
T15SVC,0,2022-04-26,/data/tiles/HLS.S30.T15SVC.2022116T165839.v2.0/,HLS.S30.T15SVC.2022116T165839.v2.0
T15SVC,1,2022-07-20,/data/tiles/HLS.S30.T15SVC.2022201T165901.v2.0/,HLS.S30.T15SVC.2022201T165901.v2.0
T15SVC,2,2022-09-13,/data/tiles/HLS.S30.T15SVC.2022256T165849.v2.0/,HLS.S30.T15SVC.2022256T165849.v2.0
T15SVD,0,2022-04-26,/data/tiles/HLS.S30.T15SVD.2022116T165839.v2.0/,HLS.S30.T15SVD.2022116T165839.v2.0
T15SVD,1,2022-06-30,/data/tiles/HLS.S30.T15SVD.2022181T165901.v2.0/,HLS.S30.T15SVD.2022181T165901.v2.0
T15SVD,2,2022-09-28,/data/tiles/HLS.S30.T15SVD.2022271T170111.v2.0/,HLS.S30.T15SVD.2022271T170111.v2.0
T15SVR,0,2022-03-19,/data/tiles/HLS.S30.T15SVR.2022078T165021.v2.0/,HLS.S30.T15SVR.2022078T165021.v2.0
T15SVR,1,2022-04-08,/data/tiles/HLS.S30.T15SVR.2022098T164841.v2.0/,HLS.S30.T15SVR.2022098T164841.v2.0
T15SVR,2,2022-09-30,/data/tiles/HLS.S30.T15SVR.2022273T165109.v2.0/,HLS.S30.T15SVR.2022273T165109.v2.0
T15SVS,0,2022-03-19,/data/tiles/HLS.S30.T15SVS.2022078T165021.v2.0/,HLS.S30.T15SVS.2022078T165021.v2.0
T15SVS,1,2022-05-28,/data/tiles/HLS.S30.T15SVS.2022148T164851.v2.0/,HLS.S30.T15SVS.2022148T164851.v2.0
T15SVS,2,2022-09-30,/data/tiles/HLS.S30.T15SVS.2022273T165109.v2.0/,HLS.S30.T15SVS.2022273T165109.v2.0
T15SVT,0,2022-03-09,/data/tiles/HLS.S30.T15SVT.2022068T165131.v2.0/,HLS.S30.T15SVT.2022068T165131.v2.0
T15SVT,1,2022-06-12,/data/tiles/HLS.S30.T15SVT.2022163T164849.v2.0/,HLS.S30.T15SVT.2022163T164849.v2.0
T15SVT,2,2022-09-30,/data/tiles/HLS.S30.T15SVT.2022273T165109.v2.0/,HLS.S30.T15SVT.2022273T165109.v2.0
T15SVU,0,2022-03-09,/data/tiles/HLS.S30.T15SVU.2022068T165131.v2.0/,HLS.S30.T15SVU.2022068T165131.v2.0
T15SVU,1,2022-04-18,/data/tiles/HLS.S30.T15SVU.2022108T164851.v2.0/,HLS.S30.T15SVU.2022108T164851.v2.0
T15SVU,2,2022-09-30,/data/tiles/HLS.S30.T15SVU.2022273T165109.v2.0/,HLS.S30.T15SVU.2022273T165109.v2.0
T15SVV,0,2022-03-02,/data/tiles/HLS.S30.T15SVV.2022061T170221.v2.0/,HLS.S30.T15SVV.2022061T170221.v2.0
T15SVV,1,2022-04-26,/data/tiles/HLS.S30.T15SVV.2022116T165839.v2.0/,HLS.S30.T15SVV.2022116T165839.v2.0
T15SVV,2,2022-09-30,/data/tiles/HLS.S30.T15SVV.2022273T165109.v2.0/,HLS.S30.T15SVV.2022273T165109.v2.0
T15SWC,0,2022-04-03,/data/tiles/HLS.S30.T15SWC.2022093T164839.v2.0/,HLS.S30.T15SWC.2022093T164839.v2.0
T15SWC,1,2022-08-31,/data/tiles/HLS.S30.T15SWC.2022243T164839.v2.0/,HLS.S30.T15SWC.2022243T164839.v2.0
T15SWC,2,2022-09-25,/data/tiles/HLS.S30.T15SWC.2022268T165041.v2.0/,HLS.S30.T15SWC.2022268T165041.v2.0
T15SWD,0,2022-07-12,/data/tiles/HLS.S30.T15SWD.2022193T164849.v2.0/,HLS.S30.T15SWD.2022193T164849.v2.0
T15SWD,1,2022-08-31,/data/tiles/HLS.S30.T15SWD.2022243T164839.v2.0/,HLS.S30.T15SWD.2022243T164839.v2.0
T15SWD,2,2022-09-30,/data/tiles/HLS.S30.T15SWD.2022273T165109.v2.0/,HLS.S30.T15SWD.2022273T165109.v2.0
T15SWR,0,2022-03-24,/data/tiles/HLS.S30.T15SWR.2022083T164839.v2.0/,HLS.S30.T15SWR.2022083T164839.v2.0
T15SWR,1,2022-05-28,/data/tiles/HLS.S30.T15SWR.2022148T164851.v2.0/,HLS.S30.T15SWR.2022148T164851.v2.0
T15SWR,2,2022-09-30,/data/tiles/HLS.S30.T15SWR.2022273T165109.v2.0/,HLS.S30.T15SWR.2022273T165109.v2.0
T15SWS,0,2022-03-19,/data/tiles/HLS.S30.T15SWS.2022078T165021.v2.0/,HLS.S30.T15SWS.2022078T165021.v2.0
T15SWS,1,2022-05-13,/data/tiles/HLS.S30.T15SWS.2022133T164839.v2.0/,HLS.S30.T15SWS.2022133T164839.v2.0
T15SWS,2,2022-09-30,/data/tiles/HLS.S30.T15SWS.2022273T165109.v2.0/,HLS.S30.T15SWS.2022273T165109.v2.0
T15SWU,0,2022-03-04,/data/tiles/HLS.S30.T15SWU.2022063T165059.v2.0/,HLS.S30.T15SWU.2022063T165059.v2.0
T15SWU,1,2022-07-12,/data/tiles/HLS.S30.T15SWU.2022193T164849.v2.0/,HLS.S30.T15SWU.2022193T164849.v2.0
T15SWU,2,2022-09-30,/data/tiles/HLS.S30.T15SWU.2022273T165109.v2.0/,HLS.S30.T15SWU.2022273T165109.v2.0
T15SXA,0,2022-06-27,/data/tiles/HLS.S30.T15SXA.2022178T164851.v2.0/,HLS.S30.T15SXA.2022178T164851.v2.0
T15SXA,1,2022-09-20,/data/tiles/HLS.S30.T15SXA.2022263T164909.v2.0/,HLS.S30.T15SXA.2022263T164909.v2.0
T15SXA,2,2022-09-25,/data/tiles/HLS.S30.T15SXA.2022268T165041.v2.0/,HLS.S30.T15SXA.2022268T165041.v2.0
T15SXC,0,2022-03-09,/data/tiles/HLS.S30.T15SXC.2022068T165131.v2.0/,HLS.S30.T15SXC.2022068T165131.v2.0
T15SXC,1,2022-09-25,/data/tiles/HLS.S30.T15SXC.2022268T165041.v2.0/,HLS.S30.T15SXC.2022268T165041.v2.0
T15SXC,2,2022-09-30,/data/tiles/HLS.S30.T15SXC.2022273T165109.v2.0/,HLS.S30.T15SXC.2022273T165109.v2.0
T15SXD,0,2022-06-17,/data/tiles/HLS.S30.T15SXD.2022168T164851.v2.0/,HLS.S30.T15SXD.2022168T164851.v2.0
T15SXD,1,2022-06-27,/data/tiles/HLS.S30.T15SXD.2022178T164851.v2.0/,HLS.S30.T15SXD.2022178T164851.v2.0
T15SXD,2,2022-07-12,/data/tiles/HLS.S30.T15SXD.2022193T164849.v2.0/,HLS.S30.T15SXD.2022193T164849.v2.0
T15SXR,0,2022-03-01,/data/tiles/HLS.S30.T15SXR.2022060T164119.v2.0/,HLS.S30.T15SXR.2022060T164119.v2.0
T15SXR,1,2022-06-19,/data/tiles/HLS.S30.T15SXR.2022170T163839.v2.0/,HLS.S30.T15SXR.2022170T163839.v2.0
T15SXR,2,2022-09-27,/data/tiles/HLS.S30.T15SXR.2022270T164039.v2.0/,HLS.S30.T15SXR.2022270T164039.v2.0
T15SXS,0,2022-03-01,/data/tiles/HLS.S30.T15SXS.2022060T164119.v2.0/,HLS.S30.T15SXS.2022060T164119.v2.0
T15SXS,1,2022-06-29,/data/tiles/HLS.S30.T15SXS.2022180T163839.v2.0/,HLS.S30.T15SXS.2022180T163839.v2.0
T15SXS,2,2022-09-27,/data/tiles/HLS.S30.T15SXS.2022270T164039.v2.0/,HLS.S30.T15SXS.2022270T164039.v2.0
T15SXT,0,2022-03-01,/data/tiles/HLS.S30.T15SXT.2022060T164119.v2.0/,HLS.S30.T15SXT.2022060T164119.v2.0
T15SXT,1,2022-06-24,/data/tiles/HLS.S30.T15SXT.2022175T163911.v2.0/,HLS.S30.T15SXT.2022175T163911.v2.0
T15SXT,2,2022-09-27,/data/tiles/HLS.S30.T15SXT.2022270T164039.v2.0/,HLS.S30.T15SXT.2022270T164039.v2.0
T15SXU,0,2022-03-04,/data/tiles/HLS.S30.T15SXU.2022063T165059.v2.0/,HLS.S30.T15SXU.2022063T165059.v2.0
T15SXU,1,2022-07-12,/data/tiles/HLS.S30.T15SXU.2022193T164849.v2.0/,HLS.S30.T15SXU.2022193T164849.v2.0
T15SXU,2,2022-09-30,/data/tiles/HLS.S30.T15SXU.2022273T165109.v2.0/,HLS.S30.T15SXU.2022273T165109.v2.0
T15SXV,0,2022-03-04,/data/tiles/HLS.S30.T15SXV.2022063T165059.v2.0/,HLS.S30.T15SXV.2022063T165059.v2.0
T15SXV,1,2022-07-22,/data/tiles/HLS.S30.T15SXV.2022203T164849.v2.0/,HLS.S30.T15SXV.2022203T164849.v2.0
T15SXV,2,2022-09-30,/data/tiles/HLS.S30.T15SXV.2022273T165109.v2.0/,HLS.S30.T15SXV.2022273T165109.v2.0
T15SYA,0,2022-06-04,/data/tiles/HLS.S30.T15SYA.2022155T163851.v2.0/,HLS.S30.T15SYA.2022155T163851.v2.0
T15SYA,1,2022-06-29,/data/tiles/HLS.S30.T15SYA.2022180T163839.v2.0/,HLS.S30.T15SYA.2022180T163839.v2.0
T15SYA,2,2022-09-12,/data/tiles/HLS.S30.T15SYA.2022255T163911.v2.0/,HLS.S30.T15SYA.2022255T163911.v2.0
T15SYB,0,2022-06-14,/data/tiles/HLS.S30.T15SYB.2022165T163911.v2.0/,HLS.S30.T15SYB.2022165T163911.v2.0
T15SYB,1,2022-06-29,/data/tiles/HLS.S30.T15SYB.2022180T163839.v2.0/,HLS.S30.T15SYB.2022180T163839.v2.0
T15SYB,2,2022-09-27,/data/tiles/HLS.S30.T15SYB.2022270T164039.v2.0/,HLS.S30.T15SYB.2022270T164039.v2.0
T15SYC,0,2022-03-01,/data/tiles/HLS.S30.T15SYC.2022060T164119.v2.0/,HLS.S30.T15SYC.2022060T164119.v2.0
T15SYC,1,2022-06-19,/data/tiles/HLS.S30.T15SYC.2022170T163839.v2.0/,HLS.S30.T15SYC.2022170T163839.v2.0
T15SYC,2,2022-09-27,/data/tiles/HLS.S30.T15SYC.2022270T164039.v2.0/,HLS.S30.T15SYC.2022270T164039.v2.0
T15SYD,0,2022-03-09,/data/tiles/HLS.S30.T15SYD.2022068T165131.v2.0/,HLS.S30.T15SYD.2022068T165131.v2.0
T15SYD,1,2022-07-22,/data/tiles/HLS.S30.T15SYD.2022203T164849.v2.0/,HLS.S30.T15SYD.2022203T164849.v2.0
T15SYD,2,2022-09-30,/data/tiles/HLS.S30.T15SYD.2022273T165109.v2.0/,HLS.S30.T15SYD.2022273T165109.v2.0
T15SYR,0,2022-03-01,/data/tiles/HLS.S30.T15SYR.2022060T164119.v2.0/,HLS.S30.T15SYR.2022060T164119.v2.0
T15SYR,1,2022-06-19,/data/tiles/HLS.S30.T15SYR.2022170T163839.v2.0/,HLS.S30.T15SYR.2022170T163839.v2.0
T15SYR,2,2022-09-27,/data/tiles/HLS.S30.T15SYR.2022270T164039.v2.0/,HLS.S30.T15SYR.2022270T164039.v2.0
T15SYS,0,2022-03-01,/data/tiles/HLS.S30.T15SYS.2022060T164119.v2.0/,HLS.S30.T15SYS.2022060T164119.v2.0
T15SYS,1,2022-06-19,/data/tiles/HLS.S30.T15SYS.2022170T163839.v2.0/,HLS.S30.T15SYS.2022170T163839.v2.0
T15SYS,2,2022-09-27,/data/tiles/HLS.S30.T15SYS.2022270T164039.v2.0/,HLS.S30.T15SYS.2022270T164039.v2.0
T15SYT,0,2022-03-01,/data/tiles/HLS.S30.T15SYT.2022060T164119.v2.0/,HLS.S30.T15SYT.2022060T164119.v2.0
T15SYT,1,2022-06-19,/data/tiles/HLS.S30.T15SYT.2022170T163839.v2.0/,HLS.S30.T15SYT.2022170T163839.v2.0
T15SYT,2,2022-09-27,/data/tiles/HLS.S30.T15SYT.2022270T164039.v2.0/,HLS.S30.T15SYT.2022270T164039.v2.0
T15SYU,0,2022-06-29,/data/tiles/HLS.S30.T15SYU.2022180T163839.v2.0/,HLS.S30.T15SYU.2022180T163839.v2.0
T15SYU,1,2022-08-13,/data/tiles/HLS.S30.T15SYU.2022225T163911.v2.0/,HLS.S30.T15SYU.2022225T163911.v2.0
T15SYU,2,2022-09-12,/data/tiles/HLS.S30.T15SYU.2022255T163911.v2.0/,HLS.S30.T15SYU.2022255T163911.v2.0
