chip_id,chip_x,chip_y,tile
chip_257_266,-565215.0,1442205.0,01XEP
chip_119_374,160545.0,2369565.0,58XEU
chip_088_326,-162015.0,2577885.0,01XEP
chip_082_349,-7455.0,2618205.0,01XEP
chip_224_375,167265.0,1663965.0,58XEU
chip_156_466,778785.0,2120925.0,59XNN
chip_273_466,778785.0,1334685.0,59XNN
chip_126_305,-303135.0,2322525.0,01XEP
chip_167_456,711585.0,2047005.0,59XNN
chip_108_438,590625.0,2443485.0,59XNN
chip_144_497,987105.0,2201565.0,59XNN
chip_119_503,1027425.0,2369565.0,59XNN
chip_097_302,-323295.0,2517405.0,01XEP
chip_217_289,-410655.0,1711005.0,01XEP
chip_048_091,-1741215.0,2846685.0,01XEP
chip_219_313,-249375.0,1697565.0,01XEP
chip_109_442,617505.0,2436765.0,59XNN
chip_062_335,-101535.0,2752605.0,01XEP
chip_103_372,147105.0,2477085.0,58XEU
chip_077_322,-188895.0,2651805.0,01XEP
chip_129_445,637665.0,2302365.0,59XNN
chip_143_497,987105.0,2208285.0,59XNN
chip_156_402,348705.0,2120925.0,58XEU
chip_080_600,1679265.0,2631645.0,59XNN
chip_108_376,173985.0,2443485.0,58XEU
chip_281_264,-578655.0,1280925.0,01XEP
chip_044_220,-874335.0,2873565.0,01XEP
chip_077_306,-296415.0,2651805.0,01XEP
chip_088_324,-175455.0,2577885.0,01XEP
chip_323_315,-235935.0,998685.0,01XEP
chip_218_328,-148575.0,1704285.0,01XEP
chip_222_332,-121695.0,1677405.0,01XEP
chip_127_479,866145.0,2315805.0,59XNN
chip_156_598,1665825.0,2120925.0,59XNN
chip_251_590,1612065.0,1482525.0,59XNN
chip_130_506,1047585.0,2295645.0,59XNN
chip_087_202,-995295.0,2584605.0,01XEP
chip_102_332,-121695.0,2483805.0,01XEP
chip_251_446,644385.0,1482525.0,59XNN
chip_239_285,-437535.0,1563165.0,01XEP
chip_159_617,1793505.0,2100765.0,59XNN
chip_177_603,1699425.0,1979805.0,59XNN
chip_118_555,1376865.0,2376285.0,59XNN
chip_247_428,523425.0,1509405.0,59XNN
chip_143_444,630945.0,2208285.0,59XNN
chip_150_494,966945.0,2161245.0,59XNN
chip_177_269,-545055.0,1979805.0,01XEP
chip_097_367,113505.0,2517405.0,58XEU
chip_052_043,-2063775.0,2819805.0,01XEP
chip_174_587,1591905.0,1999965.0,59XNN
chip_182_237,-760095.0,1946205.0,01XEP
chip_095_371,140385.0,2530845.0,58XEU
chip_213_438,590625.0,1737885.0,59XNN
chip_208_424,496545.0,1771485.0,59XNN
chip_117_560,1410465.0,2383005.0,59XNN
chip_103_430,536865.0,2477085.0,59XNN
chip_180_610,1746465.0,1959645.0,59XNN
chip_125_502,1020705.0,2329245.0,59XNN
chip_366_355,32865.0,709725.0,58XEU
chip_077_616,1786785.0,2651805.0,59XNN
chip_233_332,-121695.0,1603485.0,01XEP
chip_220_316,-229215.0,1690845.0,01XEP
chip_154_422,483105.0,2134365.0,59XNN
chip_081_354,26145.0,2624925.0,58XEU
chip_253_264,-578655.0,1469085.0,01XEP
chip_165_265,-571935.0,2060445.0,01XEP
chip_140_483,893025.0,2228445.0,59XNN
chip_152_479,866145.0,2147805.0,59XNN
chip_117_564,1437345.0,2383005.0,59XNN
chip_126_502,1020705.0,2322525.0,59XNN
chip_224_333,-114975.0,1663965.0,01XEP
chip_110_336,-94815.0,2430045.0,01XEP
chip_061_306,-296415.0,2759325.0,01XEP
chip_118_567,1457505.0,2376285.0,59XNN
chip_119_466,778785.0,2369565.0,59XNN
chip_220_306,-296415.0,1690845.0,01XEP
chip_168_325,-168735.0,2040285.0,01XEP
chip_236_445,637665.0,1583325.0,59XNN
chip_330_502,1020705.0,951645.0,59XNN
chip_151_489,933345.0,2154525.0,59XNN
chip_135_430,536865.0,2262045.0,59XNN
chip_100_368,120225.0,2497245.0,58XEU
chip_264_466,778785.0,1395165.0,59XNN
chip_068_315,-235935.0,2712285.0,01XEP
chip_122_510,1074465.0,2349405.0,59XNN
chip_244_591,1618785.0,1529565.0,59XNN
chip_140_445,637665.0,2228445.0,59XNN
chip_065_117,-1566495.0,2732445.0,01XEP
chip_239_598,1665825.0,1563165.0,59XNN
chip_105_361,73185.0,2463645.0,58XEU
chip_120_554,1370145.0,2362845.0,59XNN
chip_106_422,483105.0,2456925.0,59XNN
chip_095_362,79905.0,2530845.0,58XEU
chip_120_555,1376865.0,2362845.0,59XNN
chip_117_563,1430625.0,2383005.0,59XNN
chip_243_333,-114975.0,1536285.0,01XEP
chip_115_583,1565025.0,2396445.0,59XNN
chip_227_304,-309855.0,1643805.0,01XEP
chip_107_414,429345.0,2450205.0,59XNN
chip_124_583,1565025.0,2335965.0,59XNN
chip_369_348,-14175.0,689565.0,01XEP
chip_060_079,-1821855.0,2766045.0,01XEP
chip_115_567,1457505.0,2396445.0,59XNN
chip_250_446,644385.0,1489245.0,59XNN
chip_254_270,-538335.0,1462365.0,01XEP
chip_128_126,-1506015.0,2309085.0,01XEP
chip_174_493,960225.0,1999965.0,59XNN
chip_145_447,651105.0,2194845.0,59XNN
chip_151_604,1706145.0,2154525.0,59XNN
chip_182_238,-753375.0,1946205.0,01XEP
chip_116_379,194145.0,2389725.0,58XEU
chip_119_568,1464225.0,2369565.0,59XNN
chip_094_380,200865.0,2537565.0,58XEU
chip_198_594,1638945.0,1838685.0,59XNN
chip_221_307,-289695.0,1684125.0,01XEP
chip_311_470,805665.0,1079325.0,59XNN
chip_080_176,-1170015.0,2631645.0,01XEP
chip_147_496,980385.0,2181405.0,59XNN
chip_097_316,-229215.0,2517405.0,01XEP
chip_123_581,1551585.0,2342685.0,59XNN
chip_091_358,53025.0,2557725.0,58XEU
chip_127_482,886305.0,2315805.0,59XNN
chip_009_061,-1942815.0,3108765.0,01XEP
chip_113_378,187425.0,2409885.0,58XEU
chip_138_477,852705.0,2241885.0,59XNN
chip_188_428,523425.0,1905885.0,59XNN
chip_105_452,684705.0,2463645.0,59XNN
chip_091_334,-108255.0,2557725.0,01XEP
chip_115_565,1444065.0,2396445.0,59XNN
chip_149_497,987105.0,2167965.0,59XNN
chip_223_437,583905.0,1670685.0,59XNN
chip_062_313,-249375.0,2752605.0,01XEP
chip_317_528,1195425.0,1039005.0,59XNN
chip_238_330,-135135.0,1569885.0,01XEP
chip_255_266,-565215.0,1455645.0,01XEP
chip_132_472,819105.0,2282205.0,59XNN
chip_222_289,-410655.0,1677405.0,01XEP
chip_245_334,-108255.0,1522845.0,01XEP
chip_223_288,-417375.0,1670685.0,01XEP
chip_139_444,630945.0,2235165.0,59XNN
chip_099_495,973665.0,2503965.0,59XNN
chip_314_516,1114785.0,1059165.0,59XNN
chip_070_352,12705.0,2698845.0,58XEU
chip_152_469,798945.0,2147805.0,59XNN
chip_222_281,-464415.0,1677405.0,01XEP
chip_087_355,32865.0,2584605.0,58XEU
chip_101_330,-135135.0,2490525.0,01XEP
chip_330_503,1027425.0,951645.0,59XNN
chip_089_356,39585.0,2571165.0,58XEU
chip_223_438,590625.0,1670685.0,59XNN
chip_318_529,1202145.0,1032285.0,59XNN
chip_161_536,1249185.0,2087325.0,59XNN
chip_106_442,617505.0,2456925.0,59XNN
chip_103_374,160545.0,2477085.0,58XEU
chip_235_444,630945.0,1590045.0,59XNN
chip_142_443,624225.0,2215005.0,59XNN
chip_107_375,167265.0,2450205.0,58XEU
chip_084_363,86625.0,2604765.0,58XEU
chip_100_360,66465.0,2497245.0,58XEU
chip_132_300,-336735.0,2282205.0,01XEP
chip_060_196,-1035615.0,2766045.0,01XEP
chip_065_309,-276255.0,2732445.0,01XEP
