chip_id,chip_x,chip_y,tile,valid_first,valid_second,valid_third,bad_pct_first,bad_pct_second,bad_pct_third,first_image_date,second_image_date,third_image_date,bad_pct_max,na_count
chip_075_319,-98.73417671054256,46.950590637777786,14TNT,3222.0,50160.0,50166.0,69.03898278061224,0.01793686224489796,0.01594387755102041,2022-03-11,2022-06-19,2022-09-27,69.03898278061224,0.0
chip_194_373,-94.18709755626122,39.7956751257304,15TUE,179.0,1128.0,44.0,99.64325573979592,97.75191326530613,99.91230867346938,2022-03-15,2022-06-03,2022-09-26,99.91230867346938,0.0
chip_118_270,-102.76210192330936,44.20440692925755,13TFK,50176.0,50171.0,50174.0,0.0,0.005978954081632653,0.003985969387755102,2022-03-27,2022-07-20,2022-09-25,0.005978954081632653,0.0
chip_196_347,-96.24567677348,39.6885926671406,14TQK,50110.0,50066.0,50160.0,0.05181760204081633,0.04783163265306122,0.01992984693877551,2022-04-14,2022-06-28,2022-08-02,0.05181760204081633,0.0
chip_225_439,-89.1488566646002,37.75788276096409,16SCG,49896.0,43894.0,49948.0,0.11160714285714286,8.069595025510203,0.11559311224489796,2022-03-26,2022-05-20,2022-08-13,8.069595025510203,0.0
chip_187_489,-84.98468376113965,39.74528870102005,16TFK,50105.0,50140.0,46602.0,0.03985969387755102,0.04583864795918367,2.475286989795918,2022-04-17,2022-06-21,2022-07-21,2.475286989795918,0.0
chip_186_461,-87.18367709875562,39.979840231542205,16TDK,50176.0,48796.0,49939.0,0.0,1.2994260204081634,0.12555803571428573,2022-03-16,2022-07-14,2022-09-27,1.2994260204081634,0.0
chip_189_374,-94.10001217621507,40.09431433753076,15TVE,50168.0,50168.0,50098.0,0.005978954081632653,0.007971938775510204,0.05580357142857143,2022-04-16,2022-08-04,2022-09-28,0.05580357142857143,0.0
chip_201_360,-95.22104401498696,39.38658286576573,15SUD,50176.0,50130.0,50168.0,0.0,0.05181760204081633,0.011957908163265306,2022-03-02,2022-07-10,2022-09-28,0.05181760204081633,0.0
chip_175_587,-77.1858500205041,39.53734519434328,18SUJ,48176.0,49910.0,48588.0,0.9905133928571429,0.16940369897959184,1.7677774234693877,2022-03-11,2022-06-19,2022-09-17,1.7677774234693877,0.0
