tile,count,save_path,filename
T13TEF,0,/data/tiles/HLS.S30.T13TEF.2022103T173911.v2.0/,HLS.S30.T13TEF.2022103T173911.v2.0
T13TEF,1,/data/tiles/HLS.S30.T13TEF.2022118T173859.v2.0/,HLS.S30.T13TEF.2022118T173859.v2.0
T13TEF,2,/data/tiles/HLS.S30.T13TEF.2022128T173859.v2.0/,HLS.S30.T13TEF.2022128T173859.v2.0
T13TEF,3,/data/tiles/HLS.S30.T13TEF.2022208T173909.v2.0/,HLS.S30.T13TEF.2022208T173909.v2.0
T13TEF,4,/data/tiles/HLS.S30.T13TEF.2022213T173911.v2.0/,HLS.S30.T13TEF.2022213T173911.v2.0
T13TEF,5,/data/tiles/HLS.S30.T13TEF.2022228T173909.v2.0/,HLS.S30.T13TEF.2022228T173909.v2.0
T13TEG,0,/data/tiles/HLS.S30.T13TEG.2022061T175239.v2.0/,HLS.S30.T13TEG.2022061T175239.v2.0
T13TEG,1,/data/tiles/HLS.S30.T13TEG.2022076T175101.v2.0/,HLS.S30.T13TEG.2022076T175101.v2.0
T13TEG,2,/data/tiles/HLS.S30.T13TEG.2022101T174909.v2.0/,HLS.S30.T13TEG.2022101T174909.v2.0
T13TEG,3,/data/tiles/HLS.S30.T13TEG.2022106T174911.v2.0/,HLS.S30.T13TEG.2022106T174911.v2.0
T13TEG,4,/data/tiles/HLS.S30.T13TEG.2022116T174911.v2.0/,HLS.S30.T13TEG.2022116T174911.v2.0
T13TEG,5,/data/tiles/HLS.S30.T13TEG.2022126T174911.v2.0/,HLS.S30.T13TEG.2022126T174911.v2.0
T13TEJ,0,/data/tiles/HLS.S30.T13TEJ.2022071T175029.v2.0/,HLS.S30.T13TEJ.2022071T175029.v2.0
T13TEJ,1,/data/tiles/HLS.S30.T13TEJ.2022076T175101.v2.0/,HLS.S30.T13TEJ.2022076T175101.v2.0
T13TEJ,2,/data/tiles/HLS.S30.T13TEJ.2022086T174951.v2.0/,HLS.S30.T13TEJ.2022086T174951.v2.0
T13TEJ,3,/data/tiles/HLS.S30.T13TEJ.2022101T174909.v2.0/,HLS.S30.T13TEJ.2022101T174909.v2.0
T13TEJ,4,/data/tiles/HLS.S30.T13TEJ.2022106T174911.v2.0/,HLS.S30.T13TEJ.2022106T174911.v2.0
T13TEJ,5,/data/tiles/HLS.S30.T13TEJ.2022111T174859.v2.0/,HLS.S30.T13TEJ.2022111T174859.v2.0
T13TEK,0,/data/tiles/HLS.S30.T13TEK.2022061T175239.v2.0/,HLS.S30.T13TEK.2022061T175239.v2.0
